ID,risk_probability_default,decision
5009033,1.7343551670338796e-08,Approved
5009034,1.7343551670338796e-08,Approved
5009035,1.8417526729069724e-08,Approved
5009036,1.7551459260899826e-08,Approved
5009037,1.755145926595173e-08,Approved
5009038,1.7343551549317243e-08,Approved
5009039,1.877997248726772e-08,Approved
5009040,1.7132470695330996e-08,Approved
5009042,1.8163166472696085e-08,Approved
5009043,1.816316646746824e-08,Approved
5009046,1.846889376691232e-08,Approved
5009047,1.8620585755035394e-08,Approved
5009050,1.6849018563310067e-08,Approved
5009052,1.7050997939810955e-08,Approved
5009053,1.6849018563310067e-08,Approved
5009055,1.6849018563310067e-08,Approved
5009056,1.8636373262066977e-08,Approved
5009057,1.8636373262066977e-08,Approved
5009058,1.6733186321778825e-08,Approved
5009060,1.65216084589726e-08,Approved
5009062,1.7234192582958705e-08,Approved
5009063,1.7234192582958705e-08,Approved
5009064,1.7206398929719794e-08,Approved
5009065,1.7999967575862422e-08,Approved
5009066,1.703004324012886e-08,Approved
5009067,1.7206398929719794e-08,Approved
5009068,1.7234192571729464e-08,Approved
5009069,1.7234192582958705e-08,Approved
5009070,1.7234192582958705e-08,Approved
5009071,1.6763013894597398e-08,Approved
5009072,1.6763013894597398e-08,Approved
5009074,1.7985542423373976e-08,Approved
5009075,1.7985542423373976e-08,Approved
5009078,1.8024474650993205e-08,Approved
5009079,1.674982252230731e-08,Approved
5009081,1.6551410824388013e-08,Approved
5009083,1.7271430217769022e-08,Approved
5009084,1.7385788825113054e-08,Approved
5009088,1.6679301045615745e-08,Approved
5009089,1.6679301045615745e-08,Approved
5009090,1.7185707371664715e-08,Approved
5009094,1.6349141467393477e-08,Approved
5009095,1.6349141467393477e-08,Approved
5009096,1.6787025689686954e-08,Approved
5009097,1.6588173245598482e-08,Approved
5009098,1.6588173287156403e-08,Approved
5009099,1.792252527459403e-08,Approved
5009100,1.792252527459403e-08,Approved
5009103,1.7098812620536634e-08,Approved
5009104,1.7098812620505777e-08,Approved
5009105,1.7098812620505777e-08,Approved
5009106,1.709881263364503e-08,Approved
5112876,1.7098812620505777e-08,Approved
5009108,1.7558631570365203e-08,Approved
5009109,1.7670772295922967e-08,Approved
5009116,1.7736763212249158e-08,Approved
5009117,1.7738609758948097e-08,Approved
5009118,1.7736763212249158e-08,Approved
5009120,1.7736763212249158e-08,Approved
5009122,1.7736763212249158e-08,Approved
5009123,1.7738609758948097e-08,Approved
5009124,1.7736763212249158e-08,Approved
5009125,1.7738609758948097e-08,Approved
5009126,1.7736763212249158e-08,Approved
5009127,1.7949384316109242e-08,Approved
5009128,1.7736763212249158e-08,Approved
5009129,1.826479626777348e-08,Approved
5009130,1.7949384316109242e-08,Approved
5009131,1.7736763212249158e-08,Approved
5009133,1.698130404654362e-08,Approved
5009134,1.698130404654362e-08,Approved
5009135,1.8482358647893365e-08,Approved
5009136,1.698130402922863e-08,Approved
5009137,1.8482358647893365e-08,Approved
5009139,1.7830840200040778e-08,Approved
5009140,1.8482358647893365e-08,Approved
5009141,1.719003262073083e-08,Approved
5009142,1.8636222519022453e-08,Approved
5009144,1.7847532783026954e-08,Approved
5009145,1.6983864622098678e-08,Approved
5009147,1.678268039721261e-08,Approved
5009149,1.6959400035949384e-08,Approved
5009151,1.753550041839949e-08,Approved
5009152,1.7535500421936554e-08,Approved
5009153,1.7535500421936554e-08,Approved
5009154,1.753550041839949e-08,Approved
5009155,1.753550041839949e-08,Approved
5009156,1.7327781894575098e-08,Approved
5009157,1.7535500421936554e-08,Approved
5009158,1.7535500418431138e-08,Approved
5009159,1.7327781818300224e-08,Approved
5009160,1.753550041839949e-08,Approved
5009162,1.7535500421936554e-08,Approved
5009163,1.725971406985089e-08,Approved
5009164,1.7259714251348962e-08,Approved
5009165,1.7259714251348962e-08,Approved
5009166,1.7259714251348962e-08,Approved
5009168,1.7259714251348962e-08,Approved
5009170,1.6644546321432356e-08,Approved
5009179,1.7628302204235454e-08,Approved
5009182,1.7672355462771446e-08,Approved
5009183,1.78396230876917e-08,Approved
5009187,1.7278314624197705e-08,Approved
5009188,1.681916367517366e-08,Approved
5009189,1.681916367517366e-08,Approved
5009190,1.7020785087170998e-08,Approved
5009191,1.681916367517366e-08,Approved
5009192,1.702078509826119e-08,Approved
5009195,1.724932437808401e-08,Approved
5009196,1.724932434452199e-08,Approved
5009198,1.6453604306422817e-08,Approved
5009201,1.622373712699392e-08,Approved
5009202,1.724932437808401e-08,Approved
5009203,1.6453604295672367e-08,Approved
5009204,1.7020319413972148e-08,Approved
5009205,1.724434508784942e-08,Approved
5009206,1.6453604295672367e-08,Approved
5009207,1.6453604295672367e-08,Approved
5009208,1.6453604306422817e-08,Approved
5009210,1.7020319413972148e-08,Approved
5009213,1.8673554829674998e-08,Approved
5009216,1.7837901167176106e-08,Approved
5009217,1.7837901167176106e-08,Approved
5009220,1.7981520273135135e-08,Approved
5009222,1.7827902241477004e-08,Approved
5009223,1.7827902241477004e-08,Approved
5009224,1.7827902241477004e-08,Approved
5009225,1.7981520273135135e-08,Approved
